p_1_gender,p_1_age,p_1_fast_round_sum,p_1_play_sum_chosen,p_1_round_status,p_2_gender,p_2_age,p_2_fast_round_sum,p_2_play_sum_chosen,p_2_round_status,p_3_gender,p_3_age,p_3_fast_round_sum,p_3_play_sum_chosen,p_3_round_status,p_4_gender,p_4_age,p_4_fast_round_sum,p_4_play_sum_chosen,p_4_round_status,team_total_sum,question_answered,game_result,season,p_1_high,p_1_middle,p_1_low,p_1_neutral,p_2_high,p_2_middle,p_2_low,p_2_neutral,p_3_high,p_3_middle,p_3_low,p_3_neutral,p_4_high,p_4_middle,p_4_low,p_4_neutral
male,15,25000,25000,1,female,16,25000,25000,1,female,15,15000,15000,1,male,17,35000,35000,1,100000,31,1,2,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0
male,38,35000,35000,1,female,25,10000,90000,0,male,35,25000,25000,0,female,33,25000,140000,0,35000,17,0,2,0,3,0,0,3,0,0,0,2,0,0,0,1,0,0,0
male,33,60000,60000,1,female,27,45000,45000,0,male,28,20000,20000,1,female,27,35000,35000,0,80000,19,0,2,2,1,0,0,1,2,0,0,0,2,0,0,0,2,0,0
female,43,30000,100000,0,female,26,45000,45000,0,male,22,30000,30000,1,male,40,30000,30000,1,60000,18,0,2,3,0,0,0,-1,-1,-1,-1,1,0,0,0,0,1,0,0
female,34,40000,130000,0,male,42,40000,40000,1,female,35,50000,50000,1,male,47,45000,45000,1,135000,24,1,2,2,1,0,0,1,1,0,0,0,2,0,0,0,2,0,0
female,26,30000,30000,1,male,60,35000,135000,0,female,37,45000,45000,1,male,33,35000,35000,1,75000,23,0,3,3,0,0,0,2,0,0,1,0,1,0,1,0,2,0,0
male,29,25000,25000,1,female,27,30000,30000,1,female,62,15000,120000,1,male,35,40000,40000,0,175000,22,0,3,1,2,0,0,0,3,0,0,3,0,0,0,0,3,0,0
female,31,45000,45000,1,male,28,25000,25000,1,male,28,40000,40000,1,female,52,35000,130000,1,240000,25,1,3,2,1,0,0,1,2,0,0,0,3,0,0,3,0,0,0
male,38,40000,160000,1,female,16,25000,25000,0,male,34,30000,30000,1,female,36,30000,30000,1,220000,19,0,3,2,1,0,0,1,2,0,0,1,1,0,1,0,1,0,1
female,37,40000,40000,1,male,48,20000,100000,0,female,38,40000,40000,1,male,51,45000,45000,1,125000,17,0,3,0,3,0,0,1,2,0,0,0,2,0,0,0,2,0,0
male,47,20000,110000,1,female,24,30000,30000,0,male,29,40000,175000,0,female,25,35000,120000,1,230000,19,0,3,3,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0
female,31,15000,100000,1,male,18,40000,40000,1,female,55,30000,30000,1,male,36,30000,30000,1,200000,26,1,3,2,1,0,0,0,3,0,0,1,2,0,0,2,0,0,1
female,30,30000,125000,0,female,17,40000,40000,1,male,36,15000,15000,1,male,51,50000,50000,1,105000,20,0,3,1,2,0,0,0,2,0,0,0,2,0,0,1,1,0,0
male,57,40000,150000,1,female,43,35000,35000,0,male,25,25000,25000,0,female,23,20000,150000,0,150000,17,0,3,3,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0
female,22,30000,30000,0,male,26,25000,25000,0,male,44,20000,150000,1,female,69,30000,30000,1,180000,20,0,3,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1
male,30,30000,30000,1,female,19,30000,30000,1,female,45,20000,130000,0,male,40,20000,20000,1,80000,21,1,3,1,2,0,0,2,1,0,0,3,0,0,0,0,1,0,1
female,30,30000,6000,0,male,59,35000,35000,1,female,28,35000,35000,1,male,38,50000,220000,1,290000,19,0,3,0,3,0,0,0,1,0,1,0,2,0,0,0,1,0,1
female,35,50000,50000,1,male,31,25000,25000,0,female,32,25000,160000,0,male,48,35000,35000,1,85000,23,0,3,1,2,0,0,3,0,0,0,0,2,0,0,0,1,0,0
female,25,35000,125000,1,male,18,50000,50000,1,female,23,35000,35000,0,male,34,55000,55000,1,230000,23,1,3,3,0,0,0,2,1,0,0,2,1,0,0,2,0,0,0
male,31,35000,120000,0,female,45,25000,140000,0,female,31,30000,150000,1,male,54,20000,20000,1,170000,21,0,3,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
male,57,20000,120000,0,female,21,25000,25000,1,female,37,25000,25000,0,male,42,45000,45000,1,70000,19,0,3,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1
female,30,35000,35000,1,male,30,30000,30000,1,male,26,50000,160000,1,female,39,35000,35000,0,225000,26,1,3,2,1,0,0,0,3,0,0,3,0,0,0,0,3,0,0
male,51,40000,150000,0,female,21,30000,30000,1,male,23,25000,25000,1,female,34,40000,40000,0,55000,21,0,3,3,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0
female,31,35000,35000,1,male,42,35000,135000,0,female,33,30000,30000,1,male,18,35000,35000,1,100000,22,1,3,2,1,0,0,2,1,0,0,0,2,0,0,0,1,0,1
male,33,30000,30000,0,male,18,30000,30000,0,male,32,35000,5000,1,female,32,45000,45000,1,50000,18,0,3,1,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0
female,27,15000,15000,0,male,31,35000,35000,1,female,37,20000,160000,0,male,27,50000,50000,1,85000,20,0,3,3,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0
female,26,15000,15000,0,female,23,20000,20000,1,male,52,40000,40000,1,male,29,40000,40000,1,100000,25,1,3,2,1,0,0,2,0,0,0,1,1,0,0,0,2,0,0
male,24,20000,20000,1,female,45,30000,140000,0,male,23,40000,40000,1,female,55,40000,180000,1,240000,17,0,3,1,2,0,0,2,1,0,0,0,2,0,0,1,1,1,0
female,54,20000,20000,1,male,33,20000,120000,0,female,25,40000,40000,1,male,57,30000,30000,1,90000,16,0,3,2,1,0,0,3,0,0,0,0,2,0,0,1,1,0,0
female,31,40000,40000,0,female,29,45000,45000,0,male,41,45000,45000,1,male,33,30000,125000,1,170000,22,0,3,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
female,37,30000,30000,1,male,55,30000,30000,1,female,63,40000,40000,1,male,52,20000,20000,1,120000,19,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,,3
