,sex,sex_binary,age,age_group,player_number,first_player,second_player,third_player,fourth_player,encouragement_low,encouragement_middle,encouragement_high,encouragement_neutral,fast_round_sum,success_group,amount_chosen,risk,did_win
7,female,1,34,30,2,0,1,0,0,0.0,2,0,0,25000,25-35,25000,2,1
8,male,0,56,50,2,0,1,0,0,0.0,0,1,2,35000,35-45,10000,1,1
9,female,1,34,30,2,0,1,0,0,0.0,0,1,2,40000,35-45,40000,2,1
10,male,0,37,30,2,0,1,0,0,0.0,2,0,0,10000,0-15,10000,2,1
11,male,0,42,40,2,0,1,0,0,0.0,1,1,0,35000,35-45,100000,3,0
12,female,1,38,30,2,0,1,0,0,1.0,0,0,1,15000,15-25,15000,2,0
13,male,0,50,50,2,0,1,0,0,0.0,0,3,0,35000,35-45,35000,2,1
14,female,1,31,30,2,0,1,0,0,0.0,1,1,1,35000,35-45,35000,2,1
15,female,1,29,20,2,0,1,0,0,0.0,1,1,1,20000,15-25,20000,2,0
16,male,0,55,50,2,0,1,0,0,0.0,1,1,0,20000,15-25,20000,2,1
17,female,1,38,30,2,0,1,0,0,0.0,0,3,0,55000,55-65,150000,3,1
18,female,1,30,30,2,0,1,0,0,0.0,2,1,0,25000,25-35,25000,2,1
19,male,0,46,40,2,0,1,0,0,-1.0,-1,-1,-1,10000,0-15,70000,3,0
20,male,0,28,20,2,0,1,0,0,0.0,1,1,0,10000,0-15,10000,2,0
21,female,1,52,50,2,0,1,0,0,0.0,2,0,0,25000,25-35,25000,2,1
22,male,0,20,20,2,0,1,0,0,0.0,1,1,0,10000,0-15,10000,2,1
23,male,0,64,50,2,0,1,0,0,0.0,1,1,1,15000,15-25,15000,2,1
24,female,1,34,30,2,0,1,0,0,0.0,0,3,0,30000,25-35,100000,3,0
25,male,0,28,20,2,0,1,0,0,0.0,1,2,0,15000,15-25,15000,2,1
26,female,1,38,30,2,0,1,0,0,0.0,2,0,0,35000,35-45,35000,2,1
27,female,1,49,40,2,0,1,0,0,0.0,0,2,0,25000,25-35,110000,3,0
28,female,1,24,20,2,0,1,0,0,0.0,3,0,0,45000,45-55,45000,2,1
29,female,1,24,20,2,0,1,0,0,0.0,2,0,1,25000,25-35,25000,2,1
30,male,0,28,20,2,0,1,0,0,0.0,0,3,0,25000,25-35,25000,2,1
